Jan;Avg
1;31.5
2;42.3
3;42.6
4;34.6
5;32.4
6;37.9
7;34.9
8;23.5
9;32
10;46.3
11;42.4
12;27.6
13;34.2
14;37.4
15;36.2
16;31.5
17;23.3
18;31.7
19;21.2
20;19.9
21;23.7
22;26.4
23;32.3
24;35.3
25;36
26;35.3
27;35.2
28;33.6
29;30.4
30;30.1
31;31
